"variable","statistic","baseline","recycling","difference","combined_mcse","simultaneous_z","tolerance","passed"
"mu_u_eta_pi","sd",0.20099774620391,0.197559330605141,-0.00343841559876884,0.00648517747825733,3.5062047266172,0.0227383599272173,TRUE
"beta_nelf","sd",0.779325449415088,0.831721636449758,0.0523961870346705,0.0879628643919607,3.5062047266172,0.308415810897881,TRUE
"log_omega_lambda","sd",0.219270304930876,0.219701656226356,0.000431351295480553,0.00330787096296036,3.5062047266172,0.0115980728053714,TRUE
"log_omega_mu_t","sd",0.352253962439102,0.355328862666586,0.0030749002274848,0.00896857841801124,3.5062047266172,0.0314456720402681,TRUE
"log_omega_mu_a","sd",0.359128111880998,0.342750211072791,-0.0163779008082067,0.0128091693814727,3.5062047266172,0.04491157022936,TRUE
"log_omega_p","sd",0.328713023129748,0.304296031828163,-0.0244169913015851,0.00980636101491498,3.5062047266172,0.0343831093414096,TRUE
"log_omega_alpha_l","sd",0.578575765157292,0.570962986059493,-0.00761277909779901,0.0390901411033507,3.5062047266172,0.137058037500702,TRUE
"log_omega_pi","sd",0.360720088409227,0.360998230991688,0.000278142582460505,0.0101797839267455,3.5062047266172,0.0356924065198971,TRUE
"log_omega_eta_rti","sd",0.348228499392201,0.35162420606604,0.00339570667383943,0.009609057669025,3.5062047266172,0.0336913234174727,TRUE
"log_omega_eta_pi","sd",0.348525504895937,0.340146944447848,-0.00837856044808971,0.00869054932505202,3.5062047266172,0.0304708451203973,TRUE
"log_gamma_pop","sd",0.500384432057109,0.486458113061633,-0.0139263189954766,0.061240183489014,3.5062047266172,0.214720620808086,TRUE
"log_mu_l_pop","sd",0.392526407747981,0.267214639554624,-0.125311768193358,0.0514460641707827,3.5062047266172,0.18038043336145,TRUE
"log_sigma_v","sd",0.139096502821877,0.133702516624273,-0.00539398619760395,0.00377665624666363,3.5062047266172,0.0132417299828604,TRUE
"log_sigma_t","sd",0.127704762313293,0.129259045142871,0.0015542828295787,0.00254754152587853,3.5062047266172,0.0089322021392889,TRUE
"treated_logit_location","sd",0.803864892815511,0.855207163415055,0.051342270599544,0.0863683466990902,3.5062047266172,0.302825105426463,TRUE
"mu_log_lambda","q05",1.63186002830377,1.74827654358673,0.116416515282957,0.0309529130221382,3.5062047266172,0.108527249940792,FALSE
"mu_log_mu_t","q05",-4.63692786884109,-4.589725748025,0.0472021208160953,0.0588580512179328,3.5062047266172,0.206368377379793,TRUE
"mu_log_mu_a","q05",0.555400239746448,0.593031586230912,0.0376313464844636,0.028585149064916,3.5062047266172,0.100225384762466,TRUE
