"method","variable","mean","sd","q05","q50","q95","mcse_mean","mcse_sd","mcse_q05","mcse_q50","mcse_q95","rhat","bulk_ess","tail_ess","bulk_ess_per_cpu_sec","tail_ess_per_cpu_sec","bulk_ess_per_sum_wall_sec","bulk_ess_per_1000_budget_units","tail_ess_per_1000_budget_units","bulk_ess_per_1000_ode_integrations","tail_ess_per_1000_ode_integrations","diagnostic_passed"
"recycling","mu_log_mu_t",-4.06801147681854,0.306922965915759,-4.589725748025,-4.05072229196434,-3.57595037868499,0.0420380226503541,0.0187250682607334,0.0500772723902276,0.0352929316394839,0.061158236736041,1.05559845492064,53.1254254732418,112.812536312301,0.0102103145497867,0.0216817365818181,0.00603702167193784,0.132884324585947,0.282181602484076,0.138277243257309,0.293633535866686,FALSE
"recycling","mu_log_mu_a",0.968754794097542,0.226041108900217,0.593031586230912,0.976128579353804,1.32583579869214,0.0203644705664826,0.00830180045685073,0.022387526156032,0.0208031572097294,0.025473069932903,1.05129484878124,121.96571658601,336.417246734433,0.023440910252296,0.0646569110465172,0.0138598358075086,0.305076744831647,0.841491210905889,0.317457844547716,0.875641918126037,FALSE
"recycling","mu_log_p",7.285722732466,0.357816077141806,6.70425180558429,7.28597506148213,7.8823151808079,0.0466412290492396,0.0178514313576204,0.0329469092501484,0.052313919132601,0.0606391721961534,1.06162992211261,60.6325362458161,121.50426727435,0.0116531258151136,0.0233522231014854,0.00689010830651917,0.151662100683154,0.303922506920811,0.157817088316652,0.316256763555878,FALSE
"recycling","mu_log_alpha_l",-8.74036477623386,0.586822876424152,-9.69776634524597,-8.74124432886201,-7.70475967642393,0.11717499368867,0.0364454059278283,0.109749260722528,0.0820268223212235,0.0936248709313277,1.11677498511658,25.3586609127737,108.88005192532,0.00487374740389071,0.020925942116258,0.00288168582440524,0.063430428985369,0.272345153607597,0.0660046614681964,0.283397888898399,FALSE
"recycling","mu_u_pi",0.0286423699353595,0.403809759909819,-0.674461530027597,0.0521056829157521,0.646614690758347,0.0615776688470372,0.0269573623017377,0.0902478014886899,0.0855791840463803,0.0561884704610489,1.06507346423853,43.7096893069169,91.3922710025837,0.00840067957520374,0.0175649197355744,0.00496704429694282,0.109332442793079,0.228602408288873,0.113769542307726,0.237879907345446,FALSE
"recycling","mu_u_eta_rti",4.17469277790423,0.264947035894935,3.74244191800551,4.16972459075287,4.62193730967357,0.0442083551631378,0.0115752337521335,0.0292298440136183,0.042172448673051,0.0407479016553411,1.08944552421851,36.2080835808916,202.723172208827,0.00695892633917972,0.0389618969889523,0.00411458324013382,0.0905684366447423,0.507077949530192,0.0942440260307698,0.527656976818613,FALSE
"recycling","mu_u_eta_pi",5.3003944109807,0.197559330605141,4.97458486526612,5.30095216681771,5.62857184551309,0.0139971708558346,0.00494417267336006,0.0134789514875853,0.0145638831495112,0.0138514319212657,1.02343733271747,199.566269008703,864.957721992199,0.0383551635013734,0.166238488165249,0.0226781410268449,0.499181486663406,2.163546393435,0.51944004739443,2.25135080360806,FALSE
"recycling","beta_nelf",-0.702659947537566,0.831721636449758,-2.05067630928033,-0.718444447165213,0.744888654738018,0.202809047782061,0.0780289606171186,0.19270961535494,0.190830578528519,0.217936169537337,1.17513606165874,16.9762874884067,74.8335057907997,0.00326271711897246,0.0143824473155928,0.00192913684104382,0.0424633304444784,0.187183439658617,0.0441866434711714,0.194780009606579,FALSE
"recycling","log_omega_lambda",-0.788419674779815,0.219701656226356,-1.14780969932088,-0.788071609822019,-0.431613098166617,0.00684112081837766,0.00263437319161971,0.0107444995797681,0.0064470569255009,0.00798514709203385,1.00299078565686,1031.16812735318,2513.96837932783,0.198182900940597,0.483166161823652,0.117179001895772,2.57929379232737,6.28826945180266,2.68397071110551,6.54346979874238,TRUE
"recycling","log_omega_mu_t",-1.17664900810746,0.355328862666586,-1.76873642665996,-1.17167480693468,-0.602715275029096,0.0194922425132917,0.00690565694264757,0.0173792007400243,0.0209728699463737,0.0217195951934087,1.00634965088667,331.034287861881,824.014471284146,0.063622346093715,0.158369497664071,0.0376177913338928,0.828026643842549,2.06113373192261,0.861630911026643,2.14478187192479,FALSE
"recycling","log_omega_mu_a",-1.03910032926222,0.342750211072791,-1.63556724359079,-1.01797233262668,-0.511232385643319,0.0279454682335925,0.00958376242260721,0.0398706352184026,0.0262444452101153,0.0159804116032696,1.03854011544516,168.537696446189,454.585893127675,0.0323917009394835,0.087368052441615,0.0191521426307748,0.421568726462314,1.13707022271278,0.438677485251472,1.18321657785155,FALSE
"recycling","log_omega_p",-0.688991361505865,0.304296031828163,-1.21760774099695,-0.674045226034019,-0.208478327129608,0.0225466502221915,0.00657114272321885,0.0259181775785674,0.0213367748875626,0.0145568337431083,1.02683521424311,185.998454321105,731.125144971352,0.0357475296898877,0.140516854950666,0.0211363333033261,0.465243878167887,1.82878669134152,0.484125130001966,1.90300536178595,FALSE
"recycling","log_omega_alpha_l",-0.483931095205805,0.570962986059493,-1.49577283052144,-0.43453069187272,0.353061765238495,0.0456622539397397,0.0348366540663086,0.118253128760242,0.0433328096909257,0.0286367160568208,1.01790863986185,167.615086553075,192.391919352519,0.0322143821296758,0.0369763064658342,0.0190472998766724,0.41926097285073,0.481236056581427,0.436276074787738,0.500766327912958,FALSE
"recycling","log_omega_pi",-1.23952694744446,0.360998230991688,-1.83124028168876,-1.2396795780479,-0.648036904746965,0.0266871702639324,0.00822819514508547,0.0224544922964722,0.0277500211412459,0.0303546577291322,1.00979287438175,181.787931643092,624.720087137944,0.0349382983175538,0.120066588425938,0.0206578615276948,0.454711963228148,1.56263231955502,0.473165792483222,1.62604949866069,FALSE
"recycling","log_omega_eta_rti",-1.0267534782134,0.35162420606604,-1.60535821420199,-1.02173175369229,-0.4577842592197,0.0150647673460997,0.00652005656150923,0.0181005930464014,0.0157522943147844,0.0217025672868948,1.00602278633447,542.620701270091,1084.78818438051,0.104287692603686,0.208488280023204,0.061661867251484,1.35727450184746,2.71341535462762,1.41235753008262,2.82353540358545,TRUE
"recycling","log_omega_eta_pi",-1.05820092178659,0.340146944447848,-1.62287167272442,-1.05829813591265,-0.499492678592614,0.01670003246175,0.00614252078425096,0.0174501852230401,0.0169340617015132,0.0207296716488333,1.01075959452913,413.715574701856,1040.61706626859,0.0795130789866214,0.199998917238417,0.0470134567063621,1.03483998904881,2.60292872521766,1.07683747758783,2.70856483366153,FALSE
"recycling","log_gamma_pop",-5.97797347536947,0.486458113061633,-6.75935034806111,-5.99795564532486,-5.17413018655876,0.107242507584643,0.0350837810785553,0.0960842817731726,0.128058678106685,0.0998531358718613,1.15053762664182,20.6656457087893,64.6934705356949,0.00397178453031812,0.0124336074036622,0.00234838497569095,0.0516916400703108,0.161819845406916,0.053789470734365,0.16838707046082,FALSE
"recycling","log_mu_l_pop",-3.32158381778001,0.267214639554624,-3.76776382005108,-3.31792177522463,-2.89765571807573,0.0538004492711362,0.0169357801703367,0.0576207315277628,0.064154142713013,0.0364836976380682,1.13813901246291,24.8142362358922,110.393993233668,0.0047691130004933,0.0212169104582607,0.00281981895851582,0.0620686421416709,0.276132023386622,0.0645876084693767,0.287338443326091,FALSE
"recycling","log_sigma_v",-0.693495442303589,0.133702516624273,-0.908317506163781,-0.695416620994004,-0.470244151092892,0.00735689631159923,0.00218172800233442,0.00609659477813534,0.00685753876614958,0.0080857636229783,1.02023233554446,333.212315390255,1308.00258195427,0.064040946904244,0.251388439240133,0.0378652961637129,0.833474613707437,3.27174866104767,0.867299978891592,3.40452786203429,FALSE
"recycling","log_sigma_t",-1.07609233911449,0.129259045142871,-1.28010884939212,-1.08050148064208,-0.853105057743948,0.00470641985946369,0.00203515437840356,0.00532649198003099,0.00473705933943624,0.00880932149119518,1.00603918974333,754.694338230227,2121.54380858175,0.145046679883156,0.407745056605386,0.0857613098624402,1.88774106769412,5.30668533139333,1.9643523164805,5.52204950241869,TRUE
"recycling","treated_logit_location",4.59773446344314,0.855207163415055,3.19661067579417,4.5869624145545,6.11826971216381,0.220036836171643,0.0734997966553236,0.163519715240551,0.220524148084078,0.248286003289204,1.19360049538873,15.345553896276,75.5471291600699,0.00294930216230647,0.0145196004584697,0.00174382493155504,0.0383843243934295,0.188968448599054,0.0399420968421661,0.196637460560574,FALSE
