"reserve_id","finite_target_patients","useful_patients","sum_pairwise_acceptance","snapshot","useful_ode_patients"
"reserve_118",12,0,0.0609556545319089,"comparator_chain01_retained0750",0
"reserve_119",12,0,0.0189011664914482,"comparator_chain01_retained0750",0
"reserve_120",12,0,0.0537183927982339,"comparator_chain01_retained0750",0
"reserve_121",12,0,0.00283985004608762,"comparator_chain01_retained0750",0
"reserve_122",12,0,0.0330513113961082,"comparator_chain01_retained0750",0
"reserve_123",12,1,0.144756706413765,"comparator_chain01_retained0750",0
"reserve_124",12,1,0.784067561489062,"comparator_chain01_retained0750",0
"reserve_125",12,0,0.0314887316049735,"comparator_chain01_retained0750",0
"reserve_126",12,1,0.505889215912168,"comparator_chain01_retained0750",1
"reserve_127",12,0,0.000516773363848095,"comparator_chain01_retained0750",0
"reserve_128",12,2,1.28220710388425,"comparator_chain01_retained0750",2
"reserve_001",12,0,6.30490485267911e-07,"comparator_chain03_retained0750",0
"reserve_002",12,0,1.41125073155759e-16,"comparator_chain03_retained0750",0
"reserve_003",12,0,0.0104881613796782,"comparator_chain03_retained0750",0
"reserve_004",12,1,0.537488112562408,"comparator_chain03_retained0750",0
"reserve_005",12,0,0.0608205929522682,"comparator_chain03_retained0750",0
"reserve_006",12,0,0.00033606551001213,"comparator_chain03_retained0750",0
"reserve_007",12,0,0.0331433881422895,"comparator_chain03_retained0750",0
"reserve_008",12,4,2.56091701734865,"comparator_chain03_retained0750",3
"reserve_009",12,0,0.0133344336586068,"comparator_chain03_retained0750",0
"reserve_010",12,0,0.00450596103738556,"comparator_chain03_retained0750",0
"reserve_011",12,2,1.74859491069709,"comparator_chain03_retained0750",0
"reserve_012",12,0,9.87482240650148e-05,"comparator_chain03_retained0750",0
"reserve_013",12,2,0.25869313779709,"comparator_chain03_retained0750",1
"reserve_014",12,2,0.828043645858836,"comparator_chain03_retained0750",1
"reserve_015",12,2,1.14501347420807,"comparator_chain03_retained0750",1
"reserve_016",12,0,1.17204140836897e-06,"comparator_chain03_retained0750",0
"reserve_017",12,5,3.46316543900532,"comparator_chain03_retained0750",3
"reserve_018",12,2,1.4561284070009,"comparator_chain03_retained0750",0
"reserve_019",12,0,9.90600725731501e-14,"comparator_chain03_retained0750",0
"reserve_020",12,3,2.22087962496737,"comparator_chain03_retained0750",3
"reserve_021",12,1,0.717463172726623,"comparator_chain03_retained0750",0
"reserve_022",12,1,0.235969390703871,"comparator_chain03_retained0750",0
"reserve_023",12,0,0.0134239835738059,"comparator_chain03_retained0750",0
"reserve_024",12,3,2.1747614347001,"comparator_chain03_retained0750",3
"reserve_025",12,1,1.04115201310743,"comparator_chain03_retained0750",1
"reserve_026",12,3,2.02175466357187,"comparator_chain03_retained0750",1
"reserve_027",12,0,0.0414566418012139,"comparator_chain03_retained0750",0
"reserve_028",12,0,3.24916787067962e-05,"comparator_chain03_retained0750",0
"reserve_029",12,2,1.47594093252373,"comparator_chain03_retained0750",0
"reserve_030",12,2,0.706120674658066,"comparator_chain03_retained0750",1
"reserve_031",12,2,1.17502573219495,"comparator_chain03_retained0750",0
"reserve_032",12,4,2.48844505350777,"comparator_chain03_retained0750",3
"reserve_033",12,3,0.850483852579164,"comparator_chain03_retained0750",1
"reserve_034",12,0,7.67419470292388e-06,"comparator_chain03_retained0750",0
"reserve_035",12,3,2.80235319223846,"comparator_chain03_retained0750",1
"reserve_036",12,0,0.133213548204649,"comparator_chain03_retained0750",0
"reserve_037",12,2,1.06301490887236,"comparator_chain03_retained0750",2
"reserve_038",12,0,0.00029073258001874,"comparator_chain03_retained0750",0
"reserve_039",12,1,0.591413598764948,"comparator_chain03_retained0750",0
"reserve_040",12,0,0.000435746427911312,"comparator_chain03_retained0750",0
"reserve_041",12,2,0.548678076746189,"comparator_chain03_retained0750",1
"reserve_042",12,1,0.365908988470743,"comparator_chain03_retained0750",1
